Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,source_country,destination_country
2021-04-12 15:06:50,86.45.110.141,92.133.40.138,31548,18263,UDP,811,Data,FTP,IoC Detected,45.33,,Malware,Known Pattern B,Blocked,Medium,Urvi Warrior,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/5.0),Segment C,"Begusarai, Andhra Pradesh",,,,Server,Ireland,France
2020-12-24 16:18:22,199.219.72.118,159.213.20.78,15743,33364,TCP,173,Control,HTTP,IoC Detected,73.69,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Vihaan Bava,Opera/8.12.(X11; Linux x86_64; am-ET) Presto/2.9.176 Version/11.00,Segment C,"Raipur, Odisha",,Log Data,Alert Data,Server,United States,Italy
2022-04-05 01:54:33,118.36.129.69,31.41.38.21,35332,61817,ICMP,876,Control,DNS,,89.28,,Intrusion,Known Pattern A,Blocked,Low,Vanya Barman,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_8) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/36.0.860.0 Safari/536.2",Segment A,"Warangal, Meghalaya",189.22.11.33,,,Firewall,South Korea,Spain
2023-08-11 09:21:02,144.25.158.239,109.197.80.147,41801,19629,UDP,512,Data,HTTP,IoC Detected,77.07,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Samarth Devi,Opera/8.58.(X11; Linux i686; ia-FR) Presto/2.9.173 Version/10.00,Segment A,"Bhimavaram, Madhya Pradesh",179.208.214.250,,,Server,United States,Romania
2021-10-03 00:19:39,206.106.57.176,81.164.233.152,62889,50054,UDP,1191,Data,DNS,IoC Detected,53.38,,Intrusion,Known Pattern A,Logged,Low,Rasha Dugar,Mozilla/5.0 (Windows NT 6.2; uk-UA; rv:1.9.1.20) Gecko/7850-03-24 23:58:00 Firefox/3.6.13,Segment B,"Loni, Himachal Pradesh",,Log Data,Alert Data,Server,Hong Kong,Belgium
2023-08-11 07:44:05,24.22.149.26,146.21.102.253,13158,15042,UDP,491,Control,FTP,,14.41,,DDoS,Known Pattern B,Blocked,High,Nirvaan Sant,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/29.0.868.0 Safari/534.0",Segment C,"Phusro, Madhya Pradesh",,,,Firewall,United States,Sweden
2022-04-26 14:58:11,139.195.148.49,193.199.239.126,16307,12755,ICMP,354,Control,HTTP,,10.59,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Vanya Sabharwal,Opera/9.12.(X11; Linux i686; id-ID) Presto/2.9.176 Version/12.00,Segment C,"Dehradun, Tamil Nadu",,,Alert Data,Server,Indonesia,Finland
2023-02-02 22:53:53,63.65.61.99,145.138.218.23,13042,10486,UDP,814,Control,DNS,IoC Detected,81.92,,Malware,Known Pattern A,Logged,Low,Reyansh Yogi,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/54.0.870.0 Safari/531.0",Segment C,"Pudukkottai, Odisha",147.233.203.201,,,Firewall,United States,Netherlands
2023-06-11 18:05:49,45.62.161.202,31.226.121.151,65102,45442,UDP,863,Control,HTTP,IoC Detected,60.18,,Malware,Known Pattern B,Ignored,Low,Abram Mannan,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_9; rv:1.9.5.20) Gecko/8742-01-16 23:45:21 Firefox/3.8,Segment C,"Suryapet, Uttarakhand",72.64.231.80,,Alert Data,Server,United States,Germany
2023-06-30 09:31:21,209.161.38.244,46.226.152.179,63488,7024,ICMP,1485,Data,DNS,IoC Detected,11.94,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Anika Kanda,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_9 rv:6.0; ms-MY) AppleWebKit/534.35.4 (KHTML, like Gecko) Version/4.1 Safari/534.35.4",Segment C,"Sultan Pur Majra, Manipur",,Log Data,Alert Data,Firewall,United States,Sweden
2021-03-16 01:46:13,26.247.4.109,85.69.149.85,6583,50994,ICMP,878,Control,HTTP,,13.21,,DDoS,Known Pattern B,Blocked,High,Mishti Kalita,Mozilla/5.0 (Windows 98; gl-ES; rv:1.9.1.20) Gecko/4810-01-16 21:28:02 Firefox/3.6.15,Segment B,"Machilipatnam, Assam",28.131.106.200,,,Firewall,United States,France
2021-02-01 03:38:35,223.213.102.111,91.20.53.117,1069,27287,UDP,1358,Data,HTTP,,17.75,,Intrusion,Known Pattern A,Ignored,Low,Kismat Koshy,Opera/9.53.(X11; Linux i686; ko-KR) Presto/2.9.174 Version/10.00,Segment C,"Ichalkaranji, Uttarakhand",144.243.10.164,,,Firewall,China,Germany
2020-07-16 12:19:07,39.141.115.202,109.9.240.107,21364,7436,ICMP,770,Data,FTP,,85.22,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Vihaan Handa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_0) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/17.0.879.0 Safari/533.0",Segment A,"Ghaziabad, Jharkhand",,Log Data,Alert Data,Server,China,France
2021-10-28 22:47:37,21.212.222.254,188.5.118.35,21202,63110,ICMP,1407,Control,FTP,IoC Detected,88.21,,DDoS,Known Pattern B,Logged,High,Kismat Iyer,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/8021-03-02 03:46:06 Firefox/3.6.20,Segment A,"Singrauli, Andhra Pradesh",,Log Data,,Firewall,United States,Belgium
2022-11-06 05:19:08,181.12.178.114,5.54.3.221,45151,33913,ICMP,381,Control,FTP,IoC Detected,67.74,Alert Triggered,Malware,Known Pattern A,Logged,High,Jivika Barad,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/34.0.869.0 Mobile/77M154 Safari/533.2",Segment B,"Bokaro, Kerala",,Log Data,Alert Data,Firewall,Argentina,Greece
2020-04-17 00:21:08,182.22.10.254,31.243.169.112,4605,46797,UDP,185,Control,HTTP,,42.76,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Saira Rau,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.41.5 (KHTML, like Gecko) Version/4.1 Safari/535.41.5",Segment C,"Sirsa, Jharkhand",,,Alert Data,Server,Japan,Germany
2021-01-30 22:12:29,199.1.140.129,109.89.146.42,4226,25237,ICMP,956,Data,HTTP,,12.72,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Stuvan Rajagopalan,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/31.0.899.0 Safari/534.0",Segment A,"Bihar Sharif, West Bengal",,Log Data,,Firewall,United States,Belgium
2021-01-01 11:50:19,205.37.0.136,82.243.180.194,57999,55997,UDP,195,Control,DNS,IoC Detected,88.25,,Malware,Known Pattern B,Blocked,High,Emir Doctor,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/4.1),Segment C,"Miryalaguda, Bihar",120.189.189.168,,,Firewall,United States,France
2021-10-22 15:43:07,166.253.212.92,87.142.87.242,30658,5272,UDP,670,Control,DNS,,73.58,,Malware,Known Pattern A,Logged,Medium,Ryan Raju,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1),Segment C,"Kota, Punjab",53.94.235.147,Log Data,,Firewall,United States,Germany
2023-04-03 13:37:36,122.237.47.8,84.56.120.189,29590,33277,TCP,992,Control,FTP,,41.04,,Intrusion,Known Pattern B,Ignored,High,Riya Choudhary,"Mozilla/5.0 (Linux; Android 7.0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/45.0.853.0 Safari/536.0",Segment B,"Rajahmundry, Rajasthan",,Log Data,,Firewall,China,Germany
2023-06-08 19:14:06,59.140.144.62,194.166.45.88,12945,23374,ICMP,514,Data,HTTP,,52.99,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Tushar Sahni,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/32.0.844.0 Safari/532.1",Segment A,"Firozabad, Meghalaya",,Log Data,Alert Data,Server,Japan,Austria
2022-12-25 16:18:00,186.78.173.116,131.169.236.53,7389,39326,UDP,911,Data,HTTP,,77.28,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Rania Kumar,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.13.7 (KHTML, like Gecko) Version/4.1 Safari/532.13.7",Segment A,"Mehsana, Nagaland",,,Alert Data,Firewall,Chile,Germany
2020-03-04 01:36:12,109.143.38.209,80.23.231.188,10741,49591,TCP,802,Data,DNS,,93.93,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Rhea Dara,Mozilla/5.0 (Windows NT 4.0; id-ID; rv:1.9.0.20) Gecko/7323-08-09 08:40:59 Firefox/3.6.9,Segment B,"Motihari, Kerala",36.134.226.215,Log Data,,Server,Belgium,Italy
2022-08-10 22:27:46,161.103.195.137,51.172.212.120,45316,47326,UDP,1335,Control,HTTP,IoC Detected,82.65,,Intrusion,Known Pattern A,Logged,Low,Anika Tailor,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.15.4 (KHTML, like Gecko) Version/4.0 Safari/531.15.4",Segment B,"Suryapet, Chhattisgarh",,Log Data,Alert Data,Server,United States,Germany
2020-02-11 15:52:04,201.90.196.7,62.132.137.49,30448,53028,ICMP,745,Data,FTP,,92.72,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Tarini Rout,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.33.5 (KHTML, like Gecko) Version/4.1 Safari/532.33.5",Segment C,"Dewas, Uttarakhand",9.147.225.98,,,Firewall,Brazil,Netherlands
2020-09-24 08:13:32,147.249.170.177,88.188.182.204,43345,13162,UDP,924,Data,FTP,,41.48,Alert Triggered,Malware,Known Pattern A,Logged,High,Vritika Bhattacharyya,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.1),Segment A,"Ajmer, Arunachal Pradesh",103.252.23.150,Log Data,,Server,United States,France
2023-09-05 05:37:57,49.21.247.145,31.159.170.218,26858,8571,UDP,704,Data,HTTP,IoC Detected,28.02,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Ivana Kamdar,Mozilla/5.0 (Windows NT 5.1; crh-UA; rv:1.9.2.20) Gecko/8516-02-05 11:47:21 Firefox/3.6.5,Segment A,"Patiala, Haryana",,,Alert Data,Firewall,South Korea,Italy
2020-09-24 04:34:34,35.31.48.144,5.9.252.5,54090,21666,ICMP,1162,Control,FTP,IoC Detected,22.56,,Malware,Known Pattern B,Logged,Low,Manikya Talwar,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/30.0.887.0 Safari/531.1",Segment C,"Allahabad, Chhattisgarh",,Log Data,Alert Data,Firewall,United States,Germany
2020-02-23 18:38:52,56.209.184.105,3.74.233.60,8385,58638,UDP,635,Data,DNS,,67.04,,Intrusion,Known Pattern A,Logged,Low,Aniruddh Tella,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.1),Segment B,"Gopalpur, Nagaland",,,Alert Data,Server,United States,Germany
2022-11-20 07:54:16,184.31.62.32,158.255.232.22,1420,17221,UDP,461,Control,HTTP,,82.89,,Malware,Known Pattern A,Ignored,High,Shray Ramaswamy,"Mozilla/5.0 (Windows 95) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/39.0.853.0 Safari/534.2",Segment B,"Mehsana, Karnataka",5.155.107.203,Log Data,Alert Data,Server,United States,Spain
2023-08-30 06:28:40,28.234.146.83,161.72.251.208,61235,7520,TCP,1409,Data,HTTP,IoC Detected,45.81,Alert Triggered,Malware,Known Pattern B,Logged,High,Ritvik Dua,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/42.0.817.0 Safari/535.1",Segment C,"Mangalore, Karnataka",,Log Data,Alert Data,Firewall,United States,Spain
2020-02-04 05:31:25,119.205.113.20,213.44.13.67,60733,41426,TCP,1066,Control,DNS,,46.34,,DDoS,Known Pattern A,Blocked,Medium,Veer Batta,Opera/9.88.(Windows CE; ne-NP) Presto/2.9.173 Version/11.00,Segment C,"Ichalkaranji, Maharashtra",66.64.136.181,,Alert Data,Firewall,South Korea,France
2020-06-08 00:15:25,61.117.133.168,194.149.186.231,55490,38187,UDP,1188,Control,FTP,IoC Detected,36.73,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Samar Dhar,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/7935-02-12 18:52:20 Firefox/3.6.1,Segment C,"Kulti, Chhattisgarh",208.215.204.110,,Alert Data,Server,Japan,France
2022-04-15 06:06:27,115.187.100.129,191.101.91.185,21766,8131,ICMP,1034,Control,DNS,,27.19,,Intrusion,Known Pattern A,Ignored,Low,Bhavin Venkatesh,Opera/8.21.(X11; Linux i686; gd-GB) Presto/2.9.182 Version/11.00,Segment B,"Mirzapur, Tripura",221.101.200.45,,,Server,New Zealand,Germany
2021-07-30 23:32:30,6.20.28.177,4.182.63.32,61317,12952,ICMP,533,Data,DNS,IoC Detected,73.74,Alert Triggered,Intrusion,Known Pattern B,Blocked,High,Taimur Bahri,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/20.0.832.0 Mobile/16I421 Safari/533.2",Segment B,"Etawah, Meghalaya",184.126.93.68,,,Server,United States,Germany
2020-10-13 13:53:12,165.175.230.159,217.225.195.141,25677,60837,UDP,306,Data,DNS,IoC Detected,13.94,,Malware,Known Pattern A,Logged,Low,Armaan Garg,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_1 rv:4.0; cv-RU) AppleWebKit/532.39.7 (KHTML, like Gecko) Version/5.0 Safari/532.39.7",Segment B,"Farrukhabad, Meghalaya",210.120.136.25,,,Server,United States,Germany
2020-09-08 09:17:39,179.4.92.226,131.205.96.170,11437,3931,UDP,986,Data,FTP,,50.31,,Intrusion,Known Pattern B,Blocked,Medium,Ela Bera,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/17.0.899.0 Safari/534.2",Segment A,"Silchar, West Bengal",,Log Data,Alert Data,Server,Chile,Sweden
2020-02-19 19:23:30,204.52.30.235,213.200.142.86,62370,40226,TCP,1413,Control,FTP,,39.39,Alert Triggered,Intrusion,Known Pattern B,Blocked,High,Yuvraj  Rajagopal,"Mozilla/5.0 (Linux; Android 3.2) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/32.0.829.0 Safari/535.0",Segment B,"Patna, Maharashtra",,,Alert Data,Firewall,United States,Sweden
2021-02-25 05:47:10,53.244.27.213,146.100.125.110,11435,1371,UDP,575,Control,DNS,,65.16,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Kanav Gopal,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; rv:1.9.6.20) Gecko/5841-07-28 12:44:32 Firefox/3.8,Segment B,"Alappuzha, Telangana",,Log Data,,Firewall,Germany,Italy
2020-12-10 01:03:27,107.251.154.143,79.255.150.247,57494,40155,ICMP,933,Control,HTTP,IoC Detected,60.91,,DDoS,Known Pattern A,Blocked,Medium,Gokul Saha,Mozilla/5.0 (Android 2.2.1; Mobile; rv:8.0) Gecko/8.0 Firefox/8.0,Segment C,"Nizamabad, Telangana",51.205.241.191,,Alert Data,Server,United States,Germany
2021-05-09 06:00:23,25.159.251.101,188.205.2.89,17737,22881,UDP,336,Control,DNS,,23.25,,Malware,Known Pattern B,Blocked,Low,Hunar Sahni,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/58.0.852.0 Safari/536.1",Segment B,"Jorhat, Karnataka",,Log Data,,Server,United Kingdom,Netherlands
2021-08-04 06:30:57,22.124.100.8,164.26.236.156,62656,39057,ICMP,1379,Control,HTTP,IoC Detected,29.69,Alert Triggered,Malware,Known Pattern A,Logged,High,Abram Varma,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_0 rv:3.0; ur-IN) AppleWebKit/531.18.7 (KHTML, like Gecko) Version/5.0.1 Safari/531.18.7",Segment A,"Sagar, Bihar",,,Alert Data,Firewall,United States,Germany
2022-08-13 23:58:06,195.43.214.110,63.177.142.111,43174,64151,TCP,286,Control,HTTP,IoC Detected,0.98,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Madhav Kalla,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/51.0.864.0 Mobile/19G969 Safari/536.1",Segment B,"Deoghar, Manipur",,Log Data,,Server,Sweden,Germany
2023-03-23 16:58:26,124.56.231.173,92.214.189.143,59404,46881,TCP,843,Data,HTTP,,19.58,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Mannat Loke,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/47.0.864.0 Mobile/04E133 Safari/534.0",Segment B,"Fatehpur, Haryana",,Log Data,Alert Data,Firewall,South Korea,Germany
2021-05-19 12:29:25,83.197.40.242,5.89.193.16,26115,8097,UDP,1085,Data,HTTP,IoC Detected,91.1,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Gokul Saxena,Mozilla/5.0 (Android 2.3.4; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0,Segment C,"Berhampur, Manipur",129.212.2.16,,,Server,France,Italy
2022-04-15 09:50:56,207.225.236.182,77.148.20.237,59232,16159,TCP,1464,Data,DNS,,70.66,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Suhana Hayre,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/3.1),Segment A,"Ghaziabad, Kerala",,,Alert Data,Firewall,United States,France
2022-01-02 06:41:40,150.237.223.140,195.137.227.149,19241,50829,TCP,869,Data,HTTP,IoC Detected,61.12,,DDoS,Known Pattern B,Blocked,Medium,Inaaya  Bassi,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/17.0k0148.0 Mobile/57X052 Safari/535.2",Segment C,"Navi Mumbai, Manipur",218.136.32.18,,Alert Data,Firewall,United Kingdom,Germany
2022-04-14 22:37:19,117.110.231.44,90.8.146.81,1705,59230,UDP,248,Control,FTP,,12.24,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Rohan Sawhney,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),Segment C,"Berhampur, Maharashtra",,Log Data,,Server,South Korea,France
2022-08-16 17:44:30,128.230.247.236,109.4.114.194,10067,13858,TCP,1124,Data,DNS,,14.76,,Intrusion,Known Pattern A,Blocked,Medium,Ehsaan Chopra,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/23.0.824.0 Safari/535.2",Segment C,"Ambala, Mizoram",131.61.95.201,,Alert Data,Firewall,United States,France
2022-02-25 23:34:37,12.114.2.105,217.89.20.167,17083,62909,ICMP,1111,Control,DNS,IoC Detected,84.37,,DDoS,Known Pattern B,Blocked,Low,Urvi Sandhu,Opera/8.95.(Windows NT 5.01; kn-IN) Presto/2.9.188 Version/12.00,Segment C,"Meerut, Uttar Pradesh",219.251.1.83,,,Server,United States,Germany
2021-10-08 04:19:29,176.125.59.234,91.137.19.161,20656,29442,UDP,369,Control,DNS,IoC Detected,22.62,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Anahi Gill,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.31.1 (KHTML, like Gecko) Version/4.0 Safari/532.31.1",Segment B,"Indore, Goa",,,,Server,Ukraine,Germany
2021-08-19 19:50:49,195.183.135.228,93.30.172.16,33551,5760,ICMP,1479,Control,FTP,,76.41,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Kiara Rama,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/53.0.878.0 Safari/534.1",Segment A,"Raichur, Rajasthan",,Log Data,,Firewall,France,France
2022-10-20 09:58:17,216.199.186.52,81.39.87.144,4107,16985,UDP,1169,Data,HTTP,IoC Detected,21.32,,Malware,Known Pattern A,Blocked,Low,Zaina Mani,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/22.0.856.0 Mobile/96N125 Safari/532.2",Segment C,"Tiruchirappalli, Jharkhand",,Log Data,,Server,United States,Spain
2021-08-15 00:50:08,104.80.69.254,194.121.196.99,51424,10126,UDP,150,Data,FTP,,16.06,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Armaan Bhatti,Opera/9.66.(Windows NT 6.0; nn-NO) Presto/2.9.166 Version/11.00,Segment C,"Belgaum, Tripura",152.33.128.213,,,Firewall,United States,Netherlands
2022-09-07 07:59:07,50.41.9.154,81.119.235.163,40289,46599,TCP,1019,Control,HTTP,IoC Detected,47.15,,DDoS,Known Pattern A,Logged,Low,Stuvan Ram,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/5.0),Segment A,"Surat, Mizoram",19.149.216.247,Log Data,Alert Data,Server,United States,Italy
2022-06-22 12:44:56,87.198.138.153,78.209.4.102,27368,31156,ICMP,1261,Data,FTP,IoC Detected,1.23,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Heer Rattan,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/14.0.836.0 Safari/536.2",Segment B,"Bhilai, West Bengal",,Log Data,Alert Data,Firewall,Ireland,Italy
2021-04-21 13:32:49,11.72.38.237,88.74.9.103,23057,45017,ICMP,1385,Control,DNS,IoC Detected,95.9,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Vedika Varghese,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.50.7 (KHTML, like Gecko) Version/4.1 Safari/533.50.7",Segment C,"Vadodara, Nagaland",,,,Firewall,United States,Germany
2022-01-21 19:53:32,107.64.69.113,16.170.47.38,57018,29464,TCP,658,Data,HTTP,IoC Detected,79.29,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Anya Bahri,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/3.0),Segment C,"Kanpur, Goa",67.118.87.63,,,Server,United States,Sweden
2021-03-07 15:49:10,154.110.114.50,53.68.238.80,53209,41302,ICMP,1333,Data,HTTP,IoC Detected,36.43,,Intrusion,Known Pattern A,Logged,Low,Kartik Jain,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; wal-ET) AppleWebKit/532.14.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.14.2",Segment B,"Avadi, Nagaland",154.61.243.42,Log Data,,Server,Tunisia,Germany
